(287, 4.592793267718459)
(757, 587.8317674956639)
(1700, 7621.2471277611385)
(312, 13.911390502544515)
(6777, 14001.125)
(3502, 31.718180413605072)
(453, 7.794228634059949)
(295, 8357.177326031782)
(867, 7625.218116303051)
(4229, 20.188584580609433)
(1247, 10.115825852000754)
(13182, 20871.644840981164)
(2591, 20.188584580609433)
(7344, 205.98612706282583)
(810, 24.868334137581158)
(981, 2.9000000000000004)
(1377, 22.665376640276996)
(512, 4.323064756499593)
(241, 7627.149230897188)
(9629, 598.1756421296418)
(17084, 592.163674046682)
(1858, 17.483827113258577)
(209, 34.96765422651716)
(1886, 12.020815280171309)
(192, 27.55202870414964)
(1014, 718.0413788968315)
(3758, 15.141438435457074)
(6374, 27.619547832536806)
(1514, 15.141438435457074)
(96, 161.85721733242445)
(1898, 621.6423624112067)
(6915, 478.54051370371343)
(3475, 16.483910283837815)
(1713, 28.369603010969325)
(605, 535.0245593145864)
(1155, 48.83333333333333)
(15532, 42.29090721814009)
(707, 11.027670824318426)
(15547, 9.638094061735293)
(14300, 11.129112402035611)
(1062, 8966.170319244724)
(5591, 14.14213562373095)
(4768, 10.0)
(10616, 35.415539197740124)
(993, 11431.870691641709)
(1885, 189.0189584847686)
(1112, 16167.106575415197)
(6677, 20.188584580609433)
(6150, 777.6283347685345)
(51, 17271.278974161934)
(978, 16.483910283837815)
(1145, 3.485685011586675)
(991, 531.4041477263886)
(2518, 6.123724356957946)
(3875, 472.73186417846506)
(67, 552.445886441161)
(1017, 720.9470570131562)
(1061, 4.65)
(89, 2.555685625787558)
(612, 740.6922868818217)
(1601, 14001.125)
(196, 8.105746418436738)
(3441, 1538.535862075185)
(8195, 15.141438435457074)
(288, 3.579498272352342)
(1740, 28002.25)
(330, 6.465430048673152)
(4295, 478.54051370371343)
(193, 586.0900399117195)
(499, 14.237767802667673)
(855, 10.115825852000754)
(1090, 13613.260943802665)
(253, 650.038674046682)
(4814, 10.222742503150233)
(4024, 8.346834301526709)
(423, 22.571523745873392)
(2629, 14001.125)
(190, 4950.1452158702505)
(689, 20.188584580609433)
(3763, 6.249999999999999)
(1609, 2.829899880443358)
(9826, 4.5853026072441505)
(265, 5391.687175567849)
(441, 15845.274458499058)
(10633, 925.5660818190133)
(510, 2.9459415181858972)
(889, 439.5675299337896)
(1883, 11.639104346984778)
(982, 12.71824949250671)
(75, 28305.58029383658)
(191, 4.3500000000000005)
(2265, 3.934735424033344)
(716, 33.69298086963541)
(1015, 63.436360827210144)
(234, 28.317062991466397)
(355, 3.676421008069047)
(56, 10583.855664322633)
(3440, 20.188584580609433)
(172, 8855.088960945)
(1034, 31.718180413605072)
(4561, 5.564556201017806)
(5170, 478.54051370371343)
(13189, 18668.166666666664)
(2571, 16807.125964534276)
(3464, 11.0)
(6520, 485.4723244339628)
(1151, 15574.737701366546)
(868, 4.887949002858505)
(70, 460.07905869883143)
(3298, 25.235730725761794)
(6249, 29.47159491592625)
(187, 1244.0976786466185)
(1891, 9490.63398589879)
(1005, 35.0017856687341)
(3739, 11.987767802667673)
(227, 20.618040398355646)
(1110, 15.964206906865105)
(72, 29094.7631142846)
(8461, 6.48459713474939)
(7943, 7.794228634059949)
(333, 10184.319861434697)
(2027, 1064.3548010630102)
(1795, 120.48939951784686)
(220, 3.4389769554331124)
(1122, 3.970988541912454)
(486, 10.23197564134853)
(6070, 29.90418727647797)
(9987, 29.90418727647797)
(10626, 35.733737559902686)
(852, 35.733737559902686)
(5452, 194.91890078225492)
(1332, 145.65418727647796)
(8262, 5.511351921262151)
(1048, 18.057218996698712)
(900, 4.5853026072441505)
(7343, 1105.018774457906)
(712, 14.722431864335459)
(9338, 12.020815280171309)
(9913, 9.638094061735293)
(858, 32.42991286020208)
(1444, 13.911390502544515)
(9654, 28.0)
(3878, 4.330127018922194)
(979, 12.478527517380012)
(13158, 20.820662813657016)
(63, 3.242298567374695)
(301, 7491.871530267023)
(1895, 9326.542317973412)
(230, 24.562773454214643)
(2179, 9.107142857142856)
(525, 1.8463723646899908)
(6375, 12.047617577169117)
(860, 12.365825852000754)
(475, 3.5063717511329084)
(55, 30.771154846515515)
(733, 24.34834912808583)
(2206, 17.521124336184034)
(534, 8.760562168092017)
(709, 15.26113546362451)
(291, 4996.41450939791)
(1486, 452.17828268897233)
(9969, 205.46256182943392)
(100, 223.3482326126458)
(11518, 15.141438435457074)
(311, 8.518952085958526)
(4705, 717.8107705555701)
