(1, 340, 0.1336306209562122)
(1, 406, 0.35355339059327373)
(1, 5113, 0.35355339059327373)
(1, 1534, 0.125)
(5, 954, 0.25)
(5, 1810, 0.25)
(7, 512, 0.1632993161855452)
(7, 1145, 0.15518805795979707)
(7, 1672, 0.14166666666666666)
(7, 1701, 0.11785113019775792)
(7, 198, 0.2904737509655562)
(7, 724, 0.08333333333333333)
(7, 233, 0.11737138350836063)
(7, 754, 0.14433756729740646)
(7, 1803, 0.07216878364870323)
(7, 1360, 0.07216878364870323)
(7, 854, 0.06804138174397717)
(7, 856, 0.09128709291752768)
(7, 1104, 0.29589201295968326)
(8, 1910, 0.4596194077712559)
(9, 32, 0.325)
(9, 1270, 0.35355339059327373)
(11, 1203, 0.6327848502189878)
(11, 1256, 0.85)
(11, 8149, 0.425)
(16, 159, 0.20412414523193154)
(16401, 498, 0.26186146828319085)
(18, 1300, 0.2886751345948129)
(19, 32, 0.325)
(19, 1303, 0.4596194077712559)
(20, 4271, 0.6010407640085653)
(8215, 13888, 0.35355339059327373)
(26, 8533, 0.4596194077712559)
(26, 6760, 0.325)
(26, 5709, 0.3878358759406699)
(8219, 4113, 0.22360679774997894)
(8219, 3861, 0.2886751345948129)
(8219, 18229, 0.20412414523193154)
(8219, 10719, 0.5)
(8219, 610, 0.25)
(28, 14092, 0.2886751345948129)
(28, 4266, 0.34701104689428364)
(28, 2751, 0.2886751345948129)
(30, 1711, 0.4596194077712559)
(30, 72, 0.07009130258223498)
(30, 5609, 0.4596194077712559)
(31, 4871, 0.35355339059327373)
(31, 4874, 0.325)
(31, 1293, 0.35355339059327373)
(31, 5653, 0.25)
(31, 13754, 0.20412414523193154)
(31, 11087, 0.25)
(31, 6237, 0.25)
(31, 509, 0.25)
(31, 3188, 0.35355339059327373)
(31, 8149, 0.25)
(31, 1301, 0.35355339059327373)
(32, 9, 0.325)
(32, 1303, 0.4596194077712559)
(32, 19, 0.325)
(32, 5653, 0.22980970388562794)
(32, 13754, 0.2886751345948129)
(32, 193, 0.1326806944007555)
(32, 1098, 0.14729707590929486)
(32, 14285, 0.325)
(32, 3413, 0.21242645786248002)
(32, 59, 0.1091089451179962)
(32, 997, 0.22360679774997894)
(32, 238, 0.15075567228888181)
(32, 1270, 0.35355339059327373)
(32, 11897, 0.22980970388562794)
(15985, 14378, 0.5)
(15985, 868, 0.2562846428910991)
(36, 1410, 0.25)
(36, 4510, 0.325)
(36, 1104, 0.2125)
(36, 233, 0.1414213562373095)
(36, 757, 0.1336306209562122)
(37, 6237, 0.20412414523193154)
(37, 880, 0.16666666666666666)
(8230, 1062, 0.11180339887498947)
(8230, 53, 0.17677669529663687)
(8230, 16463, 0.325)
(8230, 8790, 0.25)
(8230, 599, 0.08111071056538127)
(8230, 610, 0.17677669529663687)
(8230, 5412, 0.35355339059327373)
(8230, 8068, 0.22980970388562794)
(8230, 433, 0.15811388300841897)
(8230, 1013, 0.1625)
(8230, 962, 0.2687936011143123)
(8230, 8676, 0.325)
(8232, 8201, 0.35355339059327373)
(8232, 18401, 0.35355339059327373)
(41, 6871, 0.35355339059327373)
(41, 1270, 0.35355339059327373)
(41, 18740, 0.5)
(16427, 14727, 0.35355339059327373)
(16427, 4286, 0.35355339059327373)
(44, 2691, 0.35355339059327373)
(45, 230, 0.11470786693528087)
(49, 631, 0.6010407640085653)
(49, 14511, 0.5)
(49, 6871, 0.35355339059327373)
(49, 1292, 0.5)
(50, 5581, 0.2886751345948129)
(51, 6150, 0.09274260335029677)
(51, 56, 0.041239304942116126)
(51, 59, 0.17857142857142858)
(51, 62, 0.18548520670059354)
(51, 67, 0.07835467939002064)
(51, 70, 0.055205244747388346)
(51, 72, 0.32945137119166223)
(51, 98, 0.2146980160486773)
(51, 99, 0.20981851568393467)
(51, 100, 0.10245014273309602)
(51, 2183, 0.15126451130702268)
(51, 157, 0.045501575519329006)
(51, 159, 0.22494487860962384)
(51, 166, 0.12784184532055998)
(51, 180, 0.2628068878805506)
(51, 182, 0.14768472142491887)
(51, 187, 0.17457431218879388)
(51, 190, 0.11958509622062123)
(51, 191, 0.15126451130702268)
(51, 192, 0.24331189915848514)
(51, 217, 0.11958509622062123)
(51, 221, 0.15126451130702268)
(51, 3109, 0.0629940788348712)
(51, 225, 0.15126451130702268)
(51, 227, 0.09168894559922718)
(51, 228, 0.2035693400059945)
(51, 229, 0.2246788811777073)
(51, 285, 0.11958509622062123)
(51, 10526, 0.3382377298657882)
(51, 288, 0.026339329200376002)
(51, 2346, 0.22759744119408556)
(51, 318, 0.06557892373388906)
(51, 328, 0.08247860988423225)
(51, 4444, 0.15126451130702268)
(51, 10625, 0.13115784746777812)
(51, 420, 0.15126451130702268)
(51, 2469, 0.13808497498808595)
(51, 429, 0.11958509622062123)
(51, 432, 0.11958509622062123)
(51, 434, 0.1691188649328941)
(51, 441, 0.09039783574556966)
(51, 450, 0.09274260335029677)
(51, 466, 0.06761234037828132)
(51, 2523, 0.06343350474165467)
(51, 10728, 0.18548520670059354)
(51, 2552, 0.13115784746777812)
(51, 2554, 0.20730699572419278)
(51, 511, 0.2918664281906398)
(51, 2571, 0.08295150620062533)
(51, 529, 0.0545544725589981)
(51, 533, 0.22373985744503327)
(51, 546, 0.11968874978625528)
(51, 6693, 0.3382377298657882)
(51, 6714, 0.1091089451179962)
(51, 2629, 0.09274260335029677)
(51, 599, 0.1777222918842244)
(51, 601, 0.13456769897886195)
(51, 612, 0.21957751641342)
(51, 683, 0.30017851831392406)
(51, 704, 0.2628068878805506)
(51, 709, 0.37115374447904514)
(51, 715, 0.13808497498808592)
(51, 734, 0.1691188649328941)
(51, 735, 0.09381026756366438)
(51, 2855, 0.37166506512574)
(51, 868, 0.3092372966310914)
(51, 875, 0.13115784746777812)
(51, 877, 0.20830952244882406)
(51, 900, 0.23917019244124246)
(51, 959, 0.25354627641855493)
(51, 3011, 0.15126451130702268)
(51, 993, 0.1425393290199597)
(51, 997, 0.08295150620062533)
(51, 998, 0.21957751641342)
(51, 1001, 0.0629940788348712)
(51, 1002, 0.23937749957251056)
(51, 1013, 0.11186992872251664)
(51, 1014, 0.09759000729485334)
(51, 1017, 0.12547528688569562)
(51, 1048, 0.16590301240125066)
(51, 1062, 0.1311124562750473)
(51, 1066, 0.13115784746777812)
(51, 1073, 0.07572401854185357)
(51, 1079, 0.21988227369598096)
(51, 1090, 0.47510361314500993)
(51, 1098, 0.0738095238095238)
(51, 1122, 0.27616994997617184)
(51, 1132, 0.23917019244124246)
(51, 1151, 0.21392032339612982)
(51, 5260, 0.1259881576697424)
(51, 878, 0.23917019244124246)
(51, 1232, 0.1091089451179962)
(51, 3281, 0.10708993401928102)
(51, 1244, 0.1697336849583011)
(51, 1246, 0.14768472142491887)
(51, 1249, 0.2624453295839119)
(51, 3299, 0.1543033499620919)
(51, 6698, 0.18548520670059354)
(51, 1296, 0.13115784746777812)
(51, 1343, 0.10029717747535974)
(51, 3413, 0.06343350474165467)
(51, 230, 0.07759705701987263)
(51, 3436, 0.1952816443881007)
(51, 1414, 0.12784184532055998)
(51, 1416, 0.1691188649328941)
(51, 1974, 0.30252902261404535)
(51, 5785, 0.08295150620062533)
(51, 1718, 0.23917019244124246)
(51, 3768, 0.19518001458970669)
(51, 7880, 0.13115784746777812)
(51, 14052, 0.3382377298657882)
(51, 9969, 0.13115784746777812)
(51, 7927, 0.15126451130702268)
(51, 9980, 0.20185154846829295)
(51, 1814, 0.1691188649328941)
(51, 3918, 0.07715167498104596)
(51, 3920, 0.07715167498104596)
(51, 3921, 0.23917019244124246)
(51, 1882, 0.1091089451179962)
(51, 1883, 0.23421601750764798)
(51, 1884, 0.3382377298657882)
(51, 1885, 0.22677868380553634)
(51, 1889, 0.11581320482871724)
(51, 1891, 0.12547528688569562)
(51, 1892, 0.19599157740244455)
(51, 1895, 0.21957751641342)
(51, 1898, 0.10708993401928102)
(51, 1902, 0.1259881576697424)
(51, 3988, 0.13093073414159542)
(51, 1015, 0.09274260335029677)
(51, 8149, 0.13115784746777812)
(51, 2027, 0.07010681840159741)
(52, 2571, 0.1)
(52, 4113, 0.24)
(52, 54, 0.16)
(52, 2616, 0.15811388300841897)
(52, 3132, 0.15811388300841897)
(52, 1098, 0.15126451130702268)
(52, 81, 0.16180796699117808)
(52, 16474, 0.20554804791094466)
(52, 3164, 0.20996031371031365)
(52, 2149, 0.22360679774997894)
(52, 6762, 0.1453444185374863)
(52, 1983, 0.12909944487358055)
(52, 9355, 0.20554804791094466)
(52, 73, 0.12909944487358055)
(52, 10524, 0.12909944487358055)
(52, 3763, 0.15518805795979707)
(52, 3259, 0.21946905628508692)
(52, 1772, 0.11180339887498947)
(52, 238, 0.08764598212022148)
(52, 9974, 0.20554804791094466)
(52, 8068, 0.11180339887498947)
(52, 10522, 0.15811388300841897)
(52, 1824, 0.1900657780874821)
(52, 6949, 0.12909944487358055)
(52, 1835, 0.1678292783356547)
(52, 18229, 0.15518805795979707)
(52, 1801, 0.22360679774997894)
(52, 13145, 0.20554804791094466)
(52, 378, 0.10159443179342346)
(52, 748, 0.08451542547285165)
(52, 6045, 0.1900657780874821)
(53, 3614, 0.22980970388562794)
(53, 3616, 0.11180339887498947)
(53, 1062, 0.13439680055715614)
(53, 1072, 0.17677669529663687)
(53, 59, 0.20730699572419278)
(53, 72, 0.049562035358096515)
(53, 1098, 0.0545544725589981)
(53, 3110, 0.17350552344714182)
(53, 16463, 0.22980970388562794)
(53, 8790, 0.17677669529663687)
(53, 599, 0.057353933467640436)
(53, 610, 0.125)
(53, 618, 0.07905694150420949)
(53, 12918, 0.1511857892036909)
(53, 173, 0.12990381056766578)
(53, 182, 0.057353933467640436)
(53, 190, 0.21213203435596423)
(53, 709, 0.0944911182523068)
(53, 203, 0.15026019100214133)
(53, 8230, 0.17677669529663687)
(53, 8830, 0.17677669529663687)
(53, 1795, 0.11180339887498947)
(53, 216, 0.125)
(53, 5412, 0.25)
(53, 3371, 0.30052038200428266)
(53, 858, 0.0944911182523068)
(53, 4444, 0.11180339887498947)
(53, 1376, 0.11490485194281397)
(53, 3475, 0.10206207261596577)
(53, 8068, 0.1625)
(53, 65, 0.09061030445113442)
(53, 1424, 0.10206207261596577)
(53, 154, 0.17344547654330258)
(53, 427, 0.25)
(53, 429, 0.15026019100214133)
(53, 433, 0.11180339887498947)
(53, 962, 0.1900657780874821)
(53, 13268, 0.14433756729740646)
(53, 16345, 0.25)
(53, 8676, 0.22980970388562794)
(53, 3068, 0.14433756729740646)
(53, 1534, 0.08838834764831843)
(54, 4113, 0.16999999999999998)
(54, 533, 0.0685160159703149)
(54, 52, 0.16)
(54, 2616, 0.15811388300841897)
(54, 182, 0.051298917604257706)
(54, 14922, 0.22360679774997894)
(54, 81, 0.11461397661875117)
(54, 3164, 0.2921186973360886)
(54, 107, 0.11180339887498947)
(54, 229, 0.04303314829119352)
(54, 2425, 0.22360679774997894)
(54, 154, 0.040824829046386304)
(54, 159, 0.05933661039639299)
(54, 10524, 0.1678292783356547)
(54, 701, 0.08295150620062533)
(54, 15058, 0.2906888370749726)
(54, 5343, 0.2906888370749726)
(54, 748, 0.08451542547285165)
(54, 238, 0.06741998624632421)
(54, 3858, 0.2906888370749726)
(54, 10522, 0.20554804791094466)
(54, 3868, 0.2906888370749726)
(54, 1824, 0.1900657780874821)
(54, 3884, 0.1678292783356547)
(54, 18229, 0.18257418583505536)
(54, 2783, 0.07905694150420949)
(54, 3900, 0.15811388300841897)
(54, 227, 0.1188795732713424)
(54, 344, 0.11952286093343936)
(54, 13145, 0.20554804791094466)
(54, 7015, 0.2906888370749726)
(54, 5502, 0.2906888370749726)
(54, 6045, 0.1900657780874821)
(54, 1463, 0.1)
(54, 1470, 0.1)
(54, 3186, 0.15811388300841897)
(54, 1002, 0.12909944487358055)
(55, 530, 0.2170434130243415)
(55, 2092, 0.08574929257125441)
(55, 1076, 0.17149858514250882)
(55, 3129, 0.16803361008336118)
(55, 59, 0.10849750542511744)
(55, 6722, 0.11902380714238081)
(55, 67, 0.2750095491084634)
(55, 70, 0.1188795732713424)
(55, 72, 0.12945217625467909)
(55, 1098, 0.11908262790561669)
(55, 89, 0.23581055457094963)
(55, 5767, 0.1301582746911937)
(55, 680, 0.10289915108550529)
(55, 681, 0.13291140348544433)
(55, 2220, 0.045834924851410566)
(55, 3763, 0.22278319716975173)
(55, 288, 0.16438773242553142)
(55, 1243, 0.11000381964338536)
(55, 1246, 0.08624430703157188)
(55, 6376, 0.07050239879106325)
(55, 295, 0.16812110480945852)
(55, 298, 0.3045609182760921)
(55, 786, 0.14002800840280097)
(55, 787, 0.224345453158608)
(55, 789, 0.17149858514250882)
(55, 285, 0.13291140348544433)
(55, 800, 0.2030406121840614)
(55, 291, 0.12315870747491123)
(55, 292, 0.45460032095761704)
(55, 293, 0.21572536511750354)
(55, 2343, 0.042874646285627205)
(55, 1832, 0.11902380714238081)
(55, 1834, 0.07001400420140048)
(55, 305, 0.23804761428476162)
(55, 306, 0.16292365588538338)
(55, 325, 0.22857186624607956)
(55, 333, 0.18259336278861227)
(55, 340, 0.18792319189078333)
(55, 4153, 0.06063390625908324)
(55, 1580, 0.26605321596532183)
(55, 5475, 0.16812110480945852)
(55, 889, 0.16832508230603463)
(55, 891, 0.16803361008336118)
(55, 11139, 0.07001400420140048)
(55, 906, 0.05423261445466404)
(55, 265, 0.2170434130243415)
(55, 3497, 0.09101820546182063)
(55, 972, 0.19722337291388514)
(55, 462, 0.14002800840280097)
(55, 467, 0.08574929257125441)
(55, 2521, 0.09219544457292886)
(55, 2523, 0.09219544457292886)
(55, 1505, 0.35167665630268286)
(55, 1001, 0.11902380714238081)
(55, 289, 0.37955655814105843)
(55, 2544, 0.27229057431858544)
(56, 533, 0.0445435403187374)
(56, 51, 0.041239304942116126)
(56, 64, 0.09285714285714286)
(56, 70, 0.07768985960673559)
(56, 157, 0.06698938453032355)
(56, 227, 0.06157935373745562)
(56, 683, 0.07768985960673559)
(56, 187, 0.10708993401928102)
(56, 703, 0.18571428571428572)
(56, 215, 0.10987005311470716)
(56, 735, 0.0681385143869247)
(56, 3707, 0.12283845372799884)
(56, 1239, 0.07407437469876467)
(56, 1398, 0.10987005311470716)
(56, 887, 0.17371980724307584)
(56, 418, 0.0823754471047914)
(56, 441, 0.05050762722761053)
(56, 1983, 0.14184162865339506)
(56, 1990, 0.17371980724307584)
(56, 1486, 0.18571428571428572)
(56, 4435, 0.14184162865339506)
(57, 1007, 0.2886751345948129)
(59, 4117, 0.10708993401928102)
(59, 4118, 0.08728715609439694)
(59, 32, 0.1091089451179962)
(59, 6177, 0.15126451130702268)
(59, 51, 0.17857142857142858)
(59, 53, 0.20730699572419278)
(59, 55, 0.10849750542511744)
(59, 70, 0.1414634396651826)
(59, 72, 0.344426433518556)
(59, 3110, 0.07572401854185357)
(59, 83, 0.3382377298657882)
(59, 84, 0.0629940788348712)
(59, 85, 0.15126451130702268)
(59, 89, 0.07329409123199365)
(59, 95, 0.0629940788348712)
(59, 96, 0.15126451130702268)
(59, 98, 0.30252902261404535)
(59, 126, 0.11222850838908133)
(59, 159, 0.19376440038650766)
(59, 173, 0.07979249985750353)
(59, 180, 0.2628068878805506)
(59, 182, 0.025031308716087945)
(59, 187, 0.2145809253987258)
(59, 190, 0.14080180684040886)
(59, 192, 0.12784184532055998)
(59, 193, 0.41425492496425775)
(59, 195, 0.0890870806374748)
(59, 18634, 0.1091089451179962)
(59, 207, 0.13617619485048055)
(59, 216, 0.13093073414159542)
(59, 217, 0.10415476122441203)
(59, 18650, 0.18548520670059354)
(59, 3109, 0.08189230248533255)
(59, 225, 0.04879500364742667)
(59, 228, 0.1794170454290121)
(59, 229, 0.1679842102263232)
(59, 235, 0.14184162865339506)
(59, 253, 0.13115784746777812)
(59, 289, 0.08760229596018354)
(59, 18737, 0.3382377298657882)
(59, 6453, 0.04879500364742667)
(59, 4153, 0.2182178902359924)
(59, 4444, 0.06343350474165467)
(59, 2407, 0.07715167498104596)
(59, 10625, 0.07715167498104596)
(59, 8582, 0.13115784746777812)
(59, 4495, 0.1091089451179962)
(59, 10657, 0.14658818246398733)
(59, 425, 0.1382046638161285)
(59, 433, 0.18054151349547867)
(59, 440, 0.09258200997725514)
(59, 441, 0.3120183362830952)
(59, 6586, 0.07715167498104596)
(59, 450, 0.31641594084218894)
(59, 10698, 0.10029717747535974)
(59, 468, 0.0545544725589981)
(59, 2531, 0.25989091950910875)
(59, 2538, 0.1259881576697424)
(59, 2552, 0.26231569493555623)
(59, 511, 0.14729707590929486)
(59, 2571, 0.15126451130702268)
(59, 529, 0.13093073414159542)
(59, 532, 0.0545544725589981)
(59, 2137, 0.09274260335029677)
(59, 546, 0.11968874978625528)
(59, 6714, 0.32187138809808874)
(59, 8790, 0.13115784746777812)
(59, 603, 0.08295150620062533)
(59, 616, 0.13115784746777812)
(59, 618, 0.03450327796711771)
(59, 627, 0.12547528688569562)
(59, 12918, 0.06598288790738581)
(59, 451, 0.18548520670059354)
(59, 6824, 0.07715167498104596)
(59, 703, 0.09897433186107871)
(59, 707, 0.0738095238095238)
(59, 709, 0.06598288790738581)
(59, 757, 0.21444438569900384)
(59, 4863, 0.1543033499620919)
(59, 777, 0.13115784746777812)
(59, 851, 0.0629940788348712)
(59, 857, 0.17854212213729673)
(59, 13158, 0.3382377298657882)
(59, 875, 0.07715167498104596)
(59, 877, 0.3356097861675499)
(59, 880, 0.0629940788348712)
(59, 894, 0.1851640199545103)
(59, 1517, 0.10708993401928102)
(59, 11155, 0.1259881576697424)
(59, 951, 0.12784184532055998)
(59, 962, 0.08295150620062533)
(59, 11215, 0.18548520670059354)
(59, 13268, 0.1952816443881007)
(59, 985, 0.1952816443881007)
(59, 991, 0.1691188649328941)
(59, 997, 0.2878905215198173)
(59, 1000, 0.24549512651549144)
(59, 1001, 0.45040766366932905)
(59, 3057, 0.05144434027684821)
(59, 1013, 0.23917019244124246)
(59, 1014, 0.42451653173261195)
(59, 1017, 0.24549512651549144)
(59, 6376, 0.04879500364742667)
(59, 5123, 0.15126451130702268)
(59, 1031, 0.2931763649279746)
(59, 1034, 0.09274260335029677)
(59, 7193, 0.13115784746777812)
(59, 7194, 0.10029717747535974)
(59, 1062, 0.11731114508820022)
(59, 1073, 0.13808497498808592)
(59, 1079, 0.1697336849583011)
(59, 5178, 0.1091089451179962)
(59, 1098, 0.1238095238095238)
(59, 1099, 0.1336306209562122)
(59, 9338, 0.5669467095138407)
(59, 1898, 0.28347335475692037)
(59, 1156, 0.1091089451179962)
(59, 7347, 0.23917019244124246)
(59, 1249, 0.2624453295839119)
(59, 3299, 0.26231569493555623)
(59, 1305, 0.1091089451179962)
(59, 3366, 0.3382377298657882)
(59, 5423, 0.1091089451179962)
(59, 18655, 0.2182178902359924)
(59, 5452, 0.30252902261404535)
(59, 13646, 0.10029717747535974)
(59, 3413, 0.14638501094227999)
(59, 6374, 0.14021363680319482)
(59, 13671, 0.23917019244124246)
(59, 5480, 0.04879500364742667)
(59, 3441, 0.29844172013554054)
(59, 1394, 0.0445435403187374)
(59, 1396, 0.13115784746777812)
(59, 1397, 0.07715167498104596)
(59, 5503, 0.07715167498104596)
(59, 1424, 0.1692654532112021)
(59, 3475, 0.0445435403187374)
(59, 15771, 0.14184162865339506)
(59, 15601, 0.07715167498104596)
(59, 5549, 0.1259881576697424)
(59, 1464, 0.2145809253987258)
(59, 13754, 0.10708993401928102)
(59, 17873, 0.1091089451179962)
(59, 1504, 0.08872442622820284)
(59, 7649, 0.10708993401928102)
(59, 1520, 0.06182840223353117)
(59, 1534, 0.1581609337111442)
(59, 9727, 0.3382377298657882)
(59, 3614, 0.10029717747535974)
(59, 9766, 0.10708993401928102)
(59, 3673, 0.10708993401928102)
(59, 11897, 0.13115784746777812)
(59, 3768, 0.15126451130702268)
(59, 11963, 0.3382377298657882)
(59, 12002, 0.1091089451179962)
(59, 18154, 0.18548520670059354)
(59, 18158, 0.3382377298657882)
(59, 1827, 0.1543033499620919)
(59, 3884, 0.0629940788348712)
(59, 994, 0.2878905215198173)
(59, 3920, 0.07715167498104596)
(59, 1883, 0.31716752370827334)
(59, 1886, 0.21417986803856204)
(59, 1895, 0.16590301240125066)
(59, 1896, 0.10079052613579392)
(59, 1899, 0.23937749957251056)
(59, 1902, 0.15118578920369088)
(59, 10105, 0.1091089451179962)
(59, 8068, 0.1091089451179962)
(59, 3978, 0.0629940788348712)
(59, 1944, 0.1091089451179962)
(59, 1958, 0.12784184532055998)
(59, 1009, 0.13115784746777812)
(59, 18391, 0.1091089451179962)
(59, 16345, 0.1091089451179962)
(59, 4085, 0.10029717747535974)
(59, 4092, 0.1091089451179962)
(62, 98, 0.22360679774997894)
(62, 3988, 0.25)
(62, 51, 0.18548520670059354)
(62, 100, 0.20412414523193154)
(62, 1902, 0.2886751345948129)
(62, 9980, 0.325)
(63, 9356, 0.25)
(63, 6177, 0.11180339887498947)
(63, 433, 0.1900657780874821)
