2,"[73, 94, 94, 6177]"
3,"[106, 101, 101, 122, 102]"
4,"[152, 726, 154, 2370, 170]"
5,"[1383, 53, 195, 202, 3203, 733]"
8,"[14103, 334]"
9,"[4980, 410, 2051, 397, 379, 410, 486, 3351, 8, 5080, 1814, 955, 8396, 4332, 5731, 382, 13785, 3563]"
10,"[416, 430]"
11,"[540, 468]"
12,"[12573, 3616, 468, 510, 18515, 504, 2018, 14340, 88, 707, 237, 883, 2150, 492, 8356, 8047, 1194, 173, 6853, 855, 883, 537, 488, 2380, 1194, 2014, 486, 3468, 288, 12573, 378, 237, 18, 405, 4036, 6461, 10737, 7711, 1609, 3124, 181, 12918, 4740, 3124, 514, 327, 72, 955, 1055, 1670, 2179, 1151, 1034, 1510, 2940, 1406, 4255, 5746, 3317, 6772, 509, 1677, 2121, 509, 510, 2380, 544, 1042, 2014, 1714, 2978, 967, 4428, 503, 1377, 507, 1055]"
13,"[89, 55, 89, 55, 298, 55, 89, 67, 89, 67, 89]"
14,"[8567, 7239, 12921, 612, 874, 3458, 9865, 10972, 1001, 1001, 857, 10762, 10762, 2637, 552, 12921, 7329, 10406, 8153, 1013, 1895, 12912, 552, 10404, 3443, 3430, 10402, 10762, 10402, 2637, 3008, 5434, 1885, 573, 2637, 552, 1027, 7224, 549, 4723, 1083, 6784, 17211, 3058]"
15,"[600, 600]"
16,"[891, 647, 640, 16671, 656, 2645, 346, 2548, 667, 16671, 14265, 678, 668, 11571]"
17,[3716]
21,"[55, 791, 798, 465, 798, 465, 800, 800, 55, 792, 55, 289, 972, 788, 800, 289, 796, 788, 293, 788, 523, 972, 5235, 789, 791, 794]"
23,"[1062, 852, 1089, 852, 875, 3449]"
24,[896]
25,"[349, 352, 155, 295, 294, 800, 906]"
26,"[934, 943, 511, 935, 929]"
28,[15690]
31,"[1001, 1080, 1028, 55, 1079, 72, 1001, 1063, 1060, 1028, 1060, 972, 55, 55, 3441, 55, 1001, 1076, 880, 1062, 1070, 1067, 1063, 1060, 56, 3441, 1070, 880, 1080, 1064, 1061, 55, 1028, 1001, 56, 1063, 3441, 1001, 972, 1064, 875, 72, 3441, 4295, 757, 1069, 72, 3441, 1061, 1078, 72, 72, 1080, 1028, 1076]"
32,[1094]
33,"[1109, 614, 1112]"
34,[1146]
35,"[1954, 11477, 1835]"
37,"[1622, 10556, 1210, 271, 1504, 154]"
38,[229]
39,"[9, 1250, 9975, 9263, 1066, 1066, 1300, 17, 5522, 5584, 24, 1250, 1250, 1250, 1250, 1250, 5610, 1280, 1704]"
40,"[1319, 1308, 15616, 1098, 2432, 529, 3191, 7512, 794, 3300, 4138, 1335, 3190, 10685, 5721, 3432, 1303, 8582, 1023, 1292, 1295, 16973, 3863, 8582, 7512, 16478, 722, 6086, 329, 1307, 1294, 3898, 3986, 6237, 4732, 4876, 9, 1333, 16963, 8369, 16608, 5720, 3288, 1332, 3300, 4317, 4056, 1155, 8198, 1295, 1299]"
41,"[2015, 959]"
42,[472]
43,"[5718, 517, 548, 3317, 154, 8678, 18198, 1824, 533, 7686, 154, 9498, 3288, 3667, 8611, 859, 17285, 3272, 70, 12295, 690, 718, 3080, 11650, 172, 6582, 2509, 1275, 3850, 2669, 2533, 8132, 1413, 11715, 262, 789, 8141, 7468, 5257, 1239, 966, 1789, 3519, 17568, 6903, 863, 3948, 1376, 1797, 487, 7922, 898, 70, 287, 16956, 1979, 10961, 154, 757, 241, 9498, 6409, 973, 526, 2478, 901, 12013, 6429, 4087, 17577, 7730, 6417, 6726, 1414, 4616, 13339, 2136, 2716, 4027, 541, 437, 6762, 1051, 13446, 2083, 977, 963, 3194, 1784, 731, 9433, 6463, 7469, 8111, 1245, 3413, 2146, 15564, 4733, 1639, 15724, 17824, 1405, 525, 2608, 1512, 1048, 250, 13976, 4031, 1986, 7468, 4199, 4180, 526, 1153]"
45,"[1428, 1434, 1428, 802, 1434]"
46,"[288, 292, 1037, 292, 288, 352, 292]"
47,"[18279, 859, 298, 180, 429, 794, 300, 951, 4474, 526, 251, 324, 542, 461, 3712, 377, 1459, 292, 498, 2025, 7340, 2552, 1444, 1632, 1122, 2801, 3281, 691, 2982, 2083, 289, 1866, 325, 523, 680, 468, 546, 3281, 1450, 4035, 4180, 1054, 295, 4879, 4035, 3171, 9856, 3373, 2801, 1632, 542, 3585, 412, 3748]"
48,"[265, 1467, 67, 1464, 67]"
49,"[1500, 6526, 2023, 2023, 5239, 16330, 534, 13587, 72, 1400, 9477, 1589, 3293, 3966, 6726, 2179, 1163, 3781, 8582, 972, 13292, 3781, 56, 157, 11219, 6708, 11219, 182, 1464, 17685, 3892, 9234, 166, 17685, 6631, 1491, 1499, 701, 13590, 1432, 10705, 16323, 704, 543]"
50,"[56, 533, 229]"
51,[707]
52,"[1539, 1539, 1549]"
55,"[1634, 1615, 4596, 1612]"
57,"[704, 470]"
